Év;Termelés millió liter;Behozatal millió liter;Kivitel millió liter;Veszteség millió liter;Zárókészlet millió liter;Belföldi felhasználás millió liter;Hazai fogyasztás összesen millió liter;Hazai fogyasztás egy fõre liter
1970;500,8;114,1;0;0,9;3,7;613,3;613,3;59,4
1975;661,9;101,6;0;2,7;4,7;762;762;72,3
1980;783,7;138,8;0;3,8;1,6;920,9;920,9;86
1981;798,7;162,2;0;3,8;2,8;955,9;955,9;89,3
1982;785,6;192;0;4,4;15,7;960,3;960,3;89,9
1983;783;160,3;0;5,6;4,6;948,8;948,8;89
1984;804,2;127;0;3,7;2,9;929,2;929,2;87,5
1985;874;113,7;0;3,5;3;984,1;984,1;93
1986;896,3;177,3;0;4,8;14,9;1 056,90;1 056,90;100,3
1987;904,5;166,8;0;6,6;16;1 063,60;1 063,60;101,4
1988;942,5;141,8;0,4;6,3;18,5;1 075,10;1 075,10;102,9
1989;972,2;112,5;0,2;10,6;10,5;1 081,90;1 081,90;104
1990;991,8;110,8;0,1;5,3;15,9;1 091,80;1 091,80;105,1
1991;957;35,6;12,6;7,7;12,2;1 041,00;1 041,00;100,3
1992;946,9;35,6;12,6;3,6;8,1;970,4;970,4;93,6
1993;839,7;37,2;19,6;2,6;9,5;853,3;853,3;82,4
1994;860,1;39,5;21,4;4,3;14,3;869,1;869,1;84
1995;779,4;14,3;14,3;3;20,5;770,2;770,2;74,6
1996;727;14,8;11;4;18;726,8;726,8;70,5
1997;697,3;14,2;6,7;5;17;706;706;68,6
1998;700,1;18,4;9,2;2;15,5;701,4;701,4;68,3
1999;695,9;21,2;9,9;7,4;19,1;696,6;696,6;68
2000;724,6;17,9;8,5;3;19,4;730,8;730,8;71,6
2001;715,5;14,4;3;4,2;18,5;723,7;723,7;71
2002;727,5;22,1;5,6;6,3;17,5;738,7;738,7;72,7
2003;724,5;47,7;5;5,3;18,8;760,6;760,6;75,1
2004;629,2;119,2;6,1;3;17,9;740,2;740,2;73,2
2005;662,8;99,6;24,5;5,9;17,5;732,3;732,3;72,6
2006;720,8;72,3;29,3;6,4;27,3;747,7;747,7;74,2
2007;756,6;71,9;40,1;6,7;26,8;782,2;782,2;77,8
2008;705;82,9;53,3;5,2;24,6;731,6;731,6;72,9
2009;669,5;87,2;27,5;2,7;23,8;727,3;727,3;72,6
2010;616,4;87,3;37,7;2,9;22,5;664,4;664,4;66,4
2011;645,3;93,8;49,5;5,2;18,4;688,5;688,5;69,1
2012;638,8;95,7;38,4;3,4;21;690,1;690,1;69,6
2013;600;105,8;57,2;3,2;27,9;638,5;638,5;64,6
2014;594,6;115,8;47;3,9;29;658,4;658,4;66,7
2015;581,8;119,1;42,6;3,8;23,6;659,9;659,9;67,1
2016;607,5;116,4;60,4;3,5;22,5;661,1;661,1;67,4
2017;613,6;111;58,6;3,6;21,2;663,7;663,7;67,8
2018;588,5;155,6;51;3,6;21,8;688,9;688,9;70,4
2019;577,4;182,6;45,5;3,5;21,6;711,2;711,2;72,7
2020;533,8;186,8;49,2;3,3;20;669,7;669,7;68,7
2021;554,1;193,4;55,4;3,4;20,8;687,9;687,9;70,8
2022;534,2;188,3;45,8;3,3;20,1;674;674;69,9
